chr	distance	avg_R2	std
11	500	0.101314	0.169006
11	1500	0.0550252	0.113524
11	2500	0.0434107	0.0953481
11	3500	0.0401386	0.0917302
11	4500	0.0364889	0.0843799
11	5500	0.0343384	0.0798835
11	6500	0.0308184	0.0761069
11	7500	0.0299335	0.0744076
11	8500	0.0229826	0.0586205
11	9500	0.0233969	0.0596303
11	10500	0.0232328	0.0583103
11	11500	0.0215471	0.0556503
11	12500	0.0200693	0.0492
11	13500	0.020324	0.0490775
11	14500	0.0205385	0.0521089
11	15500	0.0191233	0.0473542
11	16500	0.0181448	0.0452308
11	17500	0.0180726	0.049006
11	18500	0.0195458	0.0511033
11	19500	0.0176752	0.0432954
11	20500	0.0159602	0.0414755
11	21500	0.0149999	0.0409192
11	22500	0.0143417	0.0382648
11	23500	0.0144248	0.0357177
11	24500	0.0150552	0.0393558
11	25500	0.015419	0.0415541
11	26500	0.0143235	0.03827
11	27500	0.0140545	0.0369631
11	28500	0.0148106	0.0370955
11	29500	0.01596	0.0421812
11	30500	0.014163	0.0363786
11	31500	0.0138518	0.035211
11	32500	0.0142907	0.038369
11	33500	0.0158333	0.0441858
11	34500	0.0141773	0.0350743
11	35500	0.0143734	0.0395051
11	36500	0.013057	0.0350005
11	37500	0.0125791	0.0348983
11	38500	0.0113851	0.0285531
11	39500	0.0114656	0.030158
11	40500	0.0116067	0.0315435
11	41500	0.0129682	0.03539
11	42500	0.0124199	0.0328495
11	43500	0.011562	0.0298284
11	44500	0.0103265	0.0269429
11	45500	0.0105222	0.0278742
11	46500	0.0112748	0.0332324
11	47500	0.0115927	0.0326036
11	48500	0.0124301	0.0358915
11	49500	0.0111441	0.0296341
11	50500	0.0110464	0.0255153
11	51500	0.0101826	0.0258212
11	52500	0.0126691	0.0341799
11	53500	0.01159	0.0310232
11	54500	0.00985637	0.0234839
11	55500	0.00900941	0.0221358
11	56500	0.00953473	0.025207
11	57500	0.0103044	0.0272451
11	58500	0.00931114	0.0229359
11	59500	0.010214	0.0259335
11	60500	0.0100987	0.0263673
11	61500	0.0108484	0.0291437
11	62500	0.00929812	0.0252829
11	63500	0.00963407	0.0258578
11	64500	0.0101587	0.0254007
11	65500	0.00896025	0.0218636
11	66500	0.00994849	0.0257494
11	67500	0.00919619	0.0234793
11	68500	0.00854093	0.0195171
11	69500	0.00913556	0.0219581
11	70500	0.00866262	0.0195024
11	71500	0.00936155	0.0229891
11	72500	0.00902244	0.0226643
11	73500	0.00912393	0.0231162
11	74500	0.0090559	0.0232966
11	75500	0.00905673	0.0216567
11	76500	0.00943532	0.0213901
11	77500	0.00930787	0.0266871
11	78500	0.00841839	0.0229979
11	79500	0.00828729	0.0220672
11	80500	0.00846894	0.0187094
11	81500	0.00847002	0.022408
11	82500	0.00913361	0.0245185
11	83500	0.00840828	0.0240319
11	84500	0.00792346	0.0188655
11	85500	0.00838326	0.0226996
11	86500	0.00939696	0.0249152
11	87500	0.00935853	0.0221004
11	88500	0.00834032	0.0209308
11	89500	0.00894954	0.0227771
11	90500	0.00939115	0.0240347
11	91500	0.00862338	0.021842
11	92500	0.00840492	0.0217523
11	93500	0.00864665	0.0226561
11	94500	0.00850157	0.0232046
11	95500	0.00881958	0.0218599
11	96500	0.0105598	0.0307221
11	97500	0.0100862	0.0275547
11	98500	0.00862115	0.0209691
11	99500	0.00812449	0.0188836
11	100500	0.00776177	0.0170552
11	101500	0.00902309	0.0207095
11	102500	0.00809119	0.0209702
11	103500	0.00885687	0.0241381
11	104500	0.00936238	0.0258114
11	105500	0.00984051	0.0280157
11	106500	0.00876983	0.0217599
11	107500	0.00936165	0.0235005
11	108500	0.00841779	0.024136
11	109500	0.00861178	0.0240802
11	110500	0.00814161	0.0232961
11	111500	0.00851421	0.0237353
11	112500	0.00790809	0.0183272
11	113500	0.00805055	0.0192707
11	114500	0.00760847	0.0186834
11	115500	0.00751882	0.0169127
11	116500	0.00828497	0.0241377
11	117500	0.00856221	0.0210101
11	118500	0.00865912	0.0220877
11	119500	0.00903509	0.0226519
11	120500	0.00798027	0.018629
11	121500	0.00762755	0.0187268
11	122500	0.00820399	0.0223151
11	123500	0.00846678	0.0260067
11	124500	0.00750543	0.0197247
11	125500	0.00811121	0.021696
11	126500	0.00795184	0.0189397
11	127500	0.00726575	0.0160913
11	128500	0.00734117	0.0164718
11	129500	0.00783198	0.0189504
11	130500	0.00707179	0.0187652
11	131500	0.00665983	0.0136641
11	132500	0.00666352	0.0179775
11	133500	0.00742915	0.0207042
11	134500	0.00737884	0.0153891
11	135500	0.00774437	0.020743
11	136500	0.00655732	0.0154409
11	137500	0.00686001	0.0158823
11	138500	0.00642993	0.0154124
11	139500	0.00690396	0.0147351
11	140500	0.00687537	0.0179627
11	141500	0.00672561	0.0146167
11	142500	0.00719868	0.0191722
11	143500	0.00693461	0.0195255
11	144500	0.00720524	0.0214076
11	145500	0.00707862	0.0151819
11	146500	0.00787689	0.0200016
11	147500	0.00758391	0.0195349
11	148500	0.00816445	0.0199327
11	149500	0.00736634	0.0178602
11	150500	0.00780887	0.0206254
11	151500	0.00698169	0.0161052
11	152500	0.00637761	0.0157999
11	153500	0.0064729	0.0155493
11	154500	0.0072404	0.0204807
11	155500	0.00728253	0.0196614
11	156500	0.00665263	0.0157647
11	157500	0.00657377	0.0167931
11	158500	0.00682811	0.0185717
11	159500	0.00813259	0.020865
11	160500	0.00777189	0.0206844
11	161500	0.00628915	0.0132281
11	162500	0.00650282	0.0132387
11	163500	0.0067012	0.0162482
11	164500	0.00792644	0.0226243
11	165500	0.00797473	0.0220806
11	166500	0.00709639	0.0186839
11	167500	0.00781828	0.0219996
11	168500	0.00626422	0.0136464
11	169500	0.0073799	0.016296
11	170500	0.00784821	0.0212254
11	171500	0.00798396	0.0213555
11	172500	0.00655009	0.0121487
11	173500	0.00667371	0.0163135
11	174500	0.00682236	0.0152242
11	175500	0.00664446	0.0159026
11	176500	0.00607402	0.0151216
11	177500	0.00656773	0.0143259
11	178500	0.00699229	0.0135739
11	179500	0.00801344	0.0216329
11	180500	0.00672811	0.0171953
11	181500	0.00684938	0.0178642
11	182500	0.00682529	0.018477
11	183500	0.00684737	0.0156574
11	184500	0.00688568	0.0161156
11	185500	0.00590928	0.0126394
11	186500	0.0056322	0.0151114
11	187500	0.00735574	0.0209911
11	188500	0.00583171	0.0125315
11	189500	0.00653244	0.0174208
11	190500	0.00569345	0.0115557
11	191500	0.00595249	0.0125218
11	192500	0.0063184	0.0143953
11	193500	0.00574506	0.0141714
11	194500	0.00624757	0.0126727
11	195500	0.00587436	0.0129851
11	196500	0.00778976	0.019377
11	197500	0.00734597	0.0202105
11	198500	0.00665495	0.0149997
11	199500	0.00610046	0.0130323
11	200500	0.00589509	0.0129264
11	201500	0.00620622	0.0135834
11	202500	0.00645552	0.0125351
11	203500	0.00606008	0.0121964
11	204500	0.00624805	0.0218248
11	205500	0.00564806	0.0104384
11	206500	0.00649583	0.0134604
11	207500	0.00567389	0.0108242
11	208500	0.00636722	0.0141829
11	209500	0.00696948	0.0171798
11	210500	0.00707659	0.0141765
11	211500	0.00618857	0.0149189
11	212500	0.00590973	0.0130795
11	213500	0.00578278	0.0123206
11	214500	0.00640073	0.0159863
11	215500	0.00630786	0.0163358
11	216500	0.00609171	0.0121546
11	217500	0.00593232	0.0113614
11	218500	0.00615099	0.0158294
11	219500	0.00649897	0.0138624
11	220500	0.00639735	0.0146113
11	221500	0.00653389	0.0142784
11	222500	0.00669251	0.0139641
11	223500	0.00568661	0.0100285
11	224500	0.00585315	0.0108919
11	225500	0.00593175	0.011363
11	226500	0.00616074	0.0121434
11	227500	0.00605466	0.0116873
11	228500	0.0062859	0.0119894
11	229500	0.00622307	0.0151609
11	230500	0.00605533	0.013822
11	231500	0.00525775	0.00871317
11	232500	0.00582395	0.0107912
11	233500	0.00523327	0.00975441
11	234500	0.0060949	0.0147524
11	235500	0.00653524	0.01194
11	236500	0.00591219	0.0107981
11	237500	0.00546093	0.00953267
11	238500	0.00505045	0.00929997
11	239500	0.00535516	0.00917012
11	240500	0.00579837	0.0120018
11	241500	0.00595674	0.013321
11	242500	0.006342	0.0123172
11	243500	0.00559494	0.0127439
11	244500	0.00566168	0.0105107
11	245500	0.00524072	0.00975466
11	246500	0.00518953	0.00976078
11	247500	0.00558503	0.0103641
11	248500	0.00531433	0.00976652
11	249500	0.00583889	0.0102289
11	250500	0.00639461	0.011509
11	251500	0.005495	0.0113004
11	252500	0.0062131	0.0148693
11	253500	0.00529168	0.0106145
11	254500	0.00580716	0.0126189
11	255500	0.00581683	0.0167214
11	256500	0.00548683	0.012499
11	257500	0.00614963	0.0121093
11	258500	0.00492914	0.0101304
11	259500	0.00583058	0.0177694
