FULL_NAME,full_name,TWO_LETTERS,Region
ILLINOIS,Illinois,IL,EAST NORTH CENTRAL
INDIANA,Indiana,IN,EAST NORTH CENTRAL
MICHIGAN,Michigan,MI,EAST NORTH CENTRAL
OHIO,Ohio,OH,EAST NORTH CENTRAL
WISCONSIN,Wisconsin,WI,EAST NORTH CENTRAL
ALABAMA,Alabama,AL,EAST SOUTH CENTRAL
KENTUCKY,Kentucky,KY,EAST SOUTH CENTRAL
MISSISSIPPI,Mississippi,MS,EAST SOUTH CENTRAL
TENNESSEE,Tennessee,TN,EAST SOUTH CENTRAL
NEW JERSEY,New Jersey,NJ,MIDDLE ATLANTIC
NEW YORK,New York,NY,MIDDLE ATLANTIC
PENNSYLVANIA,Pennsylvania,PA,MIDDLE ATLANTIC
ARIZONA,Arizona,AZ,MOUNTAIN
COLORADO,Colorado,CO,MOUNTAIN
IDAHO,Idaho,ID,MOUNTAIN
MONTANA,Montana,MT,MOUNTAIN
NEVADA,Nevada,NV,MOUNTAIN
NEW MEXICO,New Mexico,NM,MOUNTAIN
UTAH,Utah,UT,MOUNTAIN
WYOMING,Wyoming,WY,MOUNTAIN
CONNECTICUT,Connecticut,CT,NEW ENGLAND
MAINE,Maine,ME,NEW ENGLAND
MASSACHUSETTS,Massachusetts,MA,NEW ENGLAND
NEW HAMPSHIRE,New Hampshire,NH,NEW ENGLAND
RHODE ISLAND,Rhode Island,RI,NEW ENGLAND
VERMONT,Vermont,VT,NEW ENGLAND
ALASKA,Alaska,AK,PACIFIC
AMERICAN SAMOA,American Samoa,AS,PACIFIC
British Columbia,British Columbia,BC,PACIFIC
CALIFORNIA,California,CA,PACIFIC
GUAM,Guam,GU,PACIFIC
HAWAII,Hawaii,HI,PACIFIC
NORTHERN MARIANA IS,Northern Mariana Is,MP,PACIFIC
OREGON,Oregon,OR,PACIFIC
PUERTO RICO,Puerto Rico,PR,PACIFIC
VIRGIN ISLANDS,Virgin Islands,VI,PACIFIC
WASHINGTON,Washington,WA,PACIFIC
DELAWARE,Delaware,DE,SOUTH ATLANTIC
DISTRICT OF COLUMBIA,District Of Columbia,DC,SOUTH ATLANTIC
FLORIDA,Florida,FL,SOUTH ATLANTIC
GEORGIA,Georgia,GA,SOUTH ATLANTIC
MARYLAND,Maryland,MD,SOUTH ATLANTIC
NORTH CAROLINA,North Carolina,NC,SOUTH ATLANTIC
SOUTH CAROLINA,South Carolina,SC,SOUTH ATLANTIC
VIRGINIA,Virginia,VA,SOUTH ATLANTIC
WEST VIRGINIA,West Virginia,WV,SOUTH ATLANTIC
IOWA,Iowa,IA,WEST NORTH CENTRAL
KANSAS,Kansas,KS,WEST NORTH CENTRAL
MINNESOTA,Minnesota,MN,WEST NORTH CENTRAL
MISSOURI,Missouri,MO,WEST NORTH CENTRAL
NEBRASKA,Nebraska,NE,WEST NORTH CENTRAL
NORTH DAKOTA,North Dakota,ND,WEST NORTH CENTRAL
SOUTH DAKOTA,South Dakota,SD,WEST NORTH CENTRAL
ARKANSAS,Arkansas,AR,WEST SOUTH CENTRAL
LOUISIANA,Louisiana,LA,WEST SOUTH CENTRAL
OKLAHOMA,Oklahoma,OK,WEST SOUTH CENTRAL
TEXAS,Texas,TX,WEST SOUTH CENTRAL
