chr,gene_name,description,url,gene_pos,Y,HJUST
1,ARAD1,"Probable arabinosyl transferase responsible for the polymerization of arabinose into the arabinan of arabinogalactan. May function as inverting enzyme using UDP-beta-L-arabinopyranoside. May be important for arabinan side chains of rhamnogalacturonan I (RG-I), a major component of pectins. Cell wall pectic arabinans are involved in thigmomorphogenesis response of inflorescence stems to mechanical stress.",https://www.uniprot.org/uniprotkb/Q6DBG8/entry,47655894,5.5,1
2,MAIL1,Acts as an important factor for cell fate determination and maintenance throughout plant development. Required for the organization of the root apical meristem (RAM) and the shoot apical meristem (SAM). Required to maintain genome stability and cell division activity in meristematic cells.,https://www.uniprot.org/uniprotkb/Q9SK32/entry,8096360,2,0
3,RPPL1,Potential disease resistance protein.,https://www.uniprot.org/uniprotkb/Q9LRR4/entry,1991381,3,1
3,FRS5,Putative transcription activator involved in regulating light control of development.,https://www.uniprot.org/uniprotkb/A0A178VJL5/entry,13187416,2.5,0
5,RPM1,Resistance proteins guard the plant against pathogens that contain an appropriate avirulence protein via an indirect interaction with this avirulence protein,https://www.uniprot.org/uniprotkb/Q39214/entry,15090127,2,0
6,RGA1,Disease resistance protein. Resistance proteins guard the plant against pathogens that contain an appropriate avirulence protein via a direct or indirect interaction with this avirulence protein. That triggers a defense system which restricts the pathogen growth.,https://www.uniprot.org/uniprotkb/Q7XA42/entry,42134370,4,1
7,LEP,"Cell division-promoting factor involved in leaf blade differentiation, inflorescence branching, as well as in carpel and silique shape. Promotes the number of xylem cells. Regulates positively the gibberellin signaling pathway leading to germination, hypocotyl elongation, and leaf expansion. Probably acts as a transcriptional activator. Binds to the GCC-box pathogenesis-related promoter element. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways",https://www.uniprot.org/uniprotkb/Q9M644/entry,25828708,3,1
7,PDP3,"Together with PDP1, PDP2 and PDP6, interacts with MSI4/FVE and MSI5 to suppress FLC, MAF4 and MAF5 expression by regulating the function of the PRC2 complex and modulating H3K27me3 level, thereby promoting flowering.",https://www.uniprot.org/uniprotkb/Q9FNE4/entry,42040618,7,0
7,MYB13,Plays a regulatory role in meristem function. Functions as component of a regulatory network controlling the establishment and/or development of the shoot system by the regulation of apical meristem function,https://www.uniprot.org/uniprotkb/Q9LNC9/entry,44423319,6.2,0
7,CKL10,Protein kinase involved in blue light responses (e.g. hypocotyl elongation and flowering) by phosphorylating CRY2 to reduce its stability.,https://www.uniprot.org/uniprotkb/Q93Z18/entry,44844351,5.4,0
7,MIK2,"Acts as a receptor of SCOOP peptides from Brassicaceae plants regulating multiple processing including plant growth, development and stress responses",https://www.uniprot.org/uniprotkb/Q8VZG8/entry,45039278,4.6,0
7,CYP734A1,Cytochrome P450 involved in brassinosteroids (BRs) inactivation and regulation of BRs homeostasis. Inactivates the BRs castasterone (CS) and brassinolide (BL) through carbon 26 hydroxylation. Acts in association with CYP72C1 to inactivate BRs and modulate photomorphogenesis.,https://www.uniprot.org/uniprotkb/O48786/entry,45322125,3.8,0
9,VRN1,"Involved in the regulation of vernalization. Acts as transcriptional repressor of FLC, a major target of the vernalization pathway. Binds DNA in vitro in a non-sequence-specific manner.",https://www.uniprot.org/uniprotkb/Q8L3W1/entry,11271396,3,1
9,SUVR5,Histone methyltransferase that functions together with its binding partner LDL1/SWP1 as one of the regulators of flower timing in Arabidopsis (PubMed:17224141).,https://www.uniprot.org/uniprotkb/O64827/entry,28988202,2,0
10,VRN1,"Involved in the regulation of vernalization. Acts as transcriptional repressor of FLC, a major target of the vernalization pathway. Binds DNA in vitro in a non-sequence-specific manner.",https://www.uniprot.org/uniprotkb/Q8L3W1/entry,43114624,6.2,1
