"","pheno","qtlname","chr","pos","maxLod","lowmarker","highmarker","lowposition","highposition"
"1","VegArea_d9","14@241.3","14",241.315138332449,4.35290995952505,"chr_14:05413437","chr_14:11826108",197.543436096987,270.49780626805
"2","VegArea_d235","15@46.2","15",46.1644664342274,21.5833402704968,"chr_15:00356129","chr_15:01219917",38.8105032792349,90.6065587430842
"3","VegArea_d295","15@72.1","15",72.1192408750647,7.32708936566529,"chr_15:00356129","chr_15:09808203",38.8105032792349,528.341850602499
"4","Lifespan","15@72.1","15",72.1192408750647,4.91736065437285,"chr_15:00329664","chr_15:12953971",0,653.534260821153
"5","Y1_FloweringDur","10@1038.8","10",1038.78309014185,13.6769173537249,"chr_10:39713229","chr_10:41490439",994.971553487655,1055.97586199799
"6","Y1_FloweringDur","12@761.7","12",761.699811424662,5.35122407186577,"chr_12:11139809","chr_12:20044657",591.914212245928,873.335204425031
"7","Y1_FloweringDur","15@107.9","15",107.874068055349,7.9968650206525,"chr_15:01219933","chr_15:01691797",90.6065597430842,118.377067490361
"8","Y1_FloweringDur","16@1248.9","16",1248.8653309489,5.3116542284674,"chr_16:42517180","chr_16:54821926",1146.34646934533,1742.84562374672
"9","FloweringDuration","10@1013.7","10",1013.7284858218,14.0268159666603,"chr_10:39713229","chr_10:40564375",994.971553487655,1038.78309014185
"10","FloweringDuration","15@107.9","15",107.874068055349,7.68606888051452,"chr_15:01219933","chr_15:05353817",90.6065597430842,224.483286651139
"11","FloweringDuration","16@1732.5","16",1732.49472953328,4.94906716321512,"chr_16:42517180","chr_16:54932746",1146.34646934533,1782.37863630682
"12","Y1_FloralCount","10@1013.7","10",1013.7284858218,5.73239311087521,"chr_10:39713229","chr_10:49484805",994.971553487655,1214.69933099325
"13","Y1_FloralCount","12@600.1","12",600.148167076155,4.57450789512287,"chr_12:08520435","chr_12:27452253",532.850107578524,946.449757976607
"14","Y1_FloralCount","15@46.2","15",46.1644664342274,18.2885676249499,"chr_15:00356129","chr_15:01691797",38.8105032792349,118.377067490361
"15","Y1_FloralCount","16@1152.4","16",1152.40954770993,4.00697410504645,"chr_16:41252721","chr_16:54662434",1103.90869074958,1703.57961465661
"16","TotalFloral","10@1013.7","10",1013.7284858218,5.95342184628133,"chr_10:39713229","chr_10:49484805",994.971553487655,1214.69933099325
"17","TotalFloral","12@600.1","12",600.148167076155,4.47975296439112,"chr_12:08520435","chr_12:20549339",532.850107578524,899.160599932397
"18","TotalFloral","15@46.2","15",46.1644664342274,17.9518370582536,"chr_15:00356129","chr_15:01691797",38.8105032792349,118.377067490361
"19","TotalFloral","16@1152.4","16",1152.40954770993,4.04209591519646,"chr_16:41252721","chr_16:54765786",1103.90869074958,1732.49472953328
"20","sqrt_VegArea_d9","14@241.3","14",241.315138332449,5.05144373851338,"chr_14:05413437","chr_14:11826108",197.543436096987,270.49780626805
"21","sqrt_VegArea_d119","5@1221.7","5",1221.73561191022,4.5853358550083,"chr_05:12458017","chr_05:29847534",822.722896954589,1395.46952437092
"22","sqrt_VegArea_d235","15@46.2","15",46.1644664342274,19.5686606226775,"chr_15:00356129","chr_15:01219917",38.8105032792349,90.6065587430842
"23","sqrt_VegArea_d295","15@72.1","15",72.1192408750647,11.1672746144936,"chr_15:00460816","chr_15:01219917",55.2545939152308,90.6065587430842
"24","sqrt_Y1_FloweringDur","10@1013.7","10",1013.7284858218,11.6202975260199,"chr_10:39713229","chr_10:41490439",994.971553487655,1055.97586199799
"25","sqrt_Y1_FloweringDur","12@761.7","12",761.699811424662,5.02718221469955,"chr_12:11139809","chr_12:16599079",591.914212245928,780.346488514471
"26","sqrt_Y1_FloweringDur","15@107.9","15",107.874068055349,10.280021055454,"chr_15:01219933","chr_15:01691797",90.6065597430842,118.377067490361
"27","sqrt_Y1_FloweringDur","16@1248.9","16",1248.8653309489,5.44952418597294,"chr_16:42517180","chr_16:54821926",1146.34646934533,1742.84562374672
"28","sqrt_FloweringDuration","10@1013.7","10",1013.7284858218,12.1454137948727,"chr_10:39713229","chr_10:41490439",994.971553487655,1055.97586199799
"29","sqrt_FloweringDuration","12@673.1","12",673.115474928954,4.56070420365446,"chr_12:08520435","chr_12:16599079",532.850107578524,780.346488514471
"30","sqrt_FloweringDuration","15@107.9","15",107.874068055349,9.31173625863679,"chr_15:01219933","chr_15:01691797",90.6065597430842,118.377067490361
"31","sqrt_FloweringDuration","16@1248.9","16",1248.8653309489,5.11012728318729,"chr_16:42517180","chr_16:54821926",1146.34646934533,1742.84562374672
"32","sqrt_Y1_FloralCount","10@1013.7","10",1013.7284858218,7.27875085190023,"chr_10:36931788","chr_10:41490439",989.095826131954,1055.97586199799
"33","sqrt_Y1_FloralCount","12@600.1","12",600.148167076155,5.79735429991257,"chr_12:11139809","chr_12:12323343",591.914212245928,608.266980280297
"34","sqrt_Y1_FloralCount","15@46.2","15",46.1644664342274,24.9393984520131,"chr_15:00356129","chr_15:00460816",38.8105032792349,55.2545939152308
"35","sqrt_Y1_FloralCount","16@1146.3","16",1146.34646934533,5.154042202322,"chr_16:41252721","chr_16:49656422",1103.90869074958,1306.70452272466
"36","sqrt_TotalFloral","10@1013.7","10",1013.7284858218,7.5554237067293,"chr_10:36931788","chr_10:41490439",989.095826131954,1055.97586199799
"37","sqrt_TotalFloral","12@600.1","12",600.148167076155,5.67304900173486,"chr_12:11139809","chr_12:12323343",591.914212245928,608.266980280297
"38","sqrt_TotalFloral","15@46.2","15",46.1644664342274,24.4338379393778,"chr_15:00356129","chr_15:01691383",38.8105032792349,109.07499046775
"39","sqrt_TotalFloral","16@1146.3","16",1146.34646934533,5.00621407629448,"chr_16:41252721","chr_16:52612796",1103.90869074958,1443.39488204484
