"","pheno","qtlname","chr","pos","maxLod","lowmarker","highmarker","lowposition","highposition"
"1","VegArea_d119","14@183.4","14",183.371319776094,5.29937767925448,"chr_14:07128126","chr_14:15572192",175.214041373594,230.14128838733
"2","VegArea_d200","8@667.4","8",667.402919797221,5.74798573330759,"chr_08:12774885","chr_08:14016411",627.034201421573,684.127292412107
"3","VegArea_d200","15@1319.7","15",1319.7348752872,6.07363989778054,"chr_15:11293899","chr_15:44934145",667.375909671079,1333.7205261082
"4","VegArea_d295","3@48.7","3",48.6720445358776,5.90103799002994,"chr_03:02362159","chr_03:15091346",16.254544476696,398.293696985824
"5","VegArea_d295","15@147.9","15",147.870651620492,8.30847916321975,"chr_15:02148650","chr_15:04060675",138.186258096525,158.177393744371
"6","VegArea_d354","15@147.9","15",147.870651620492,5.484919122966,"chr_15:02148650","chr_15:09408573",138.186258096525,477.762263382227
"7","Lifespan","8@825.5","8",825.467538126246,5.46899350025742,"chr_08:08090865","chr_08:19814620",327.080905606967,1000.55072345717
"8","Y1_FloweringDur","7@1369.2","7",1369.20661042242,5.98033175533885,"chr_07:27611269","chr_07:46706337",811.059359052215,1394.7106923143
"9","Y1_FloweringDur","10@946.8","10",946.754385409535,7.93199437591752,"chr_10:39625359","chr_10:39843410",934.12173398068,963.034330787048
"10","Y1_FloweringDur","15@42.8","15",42.8184129682189,22.7969017149936,"chr_15:00356129","chr_15:00610422",32.6789975401712,55.2874364066645
"11","FloweringDuration","1@1338.4","1",1338.4495570723,3.57709890173386,"chr_01:47173402","chr_01:52729996",1305.40921922666,1531.91558495531
"12","FloweringDuration","8@829.2","8",829.220473625503,6.6960040554509,"chr_08:14439050","chr_08:15788504",767.02058618489,874.081948636623
"13","FloweringDuration","10@946.8","10",946.754385409535,8.81332713084237,"chr_10:39625359","chr_10:39843410",934.12173398068,963.034330787048
"14","FloweringDuration","15@32.7","15",32.6789975401712,11.5573298564187,"chr_15:00329664","chr_15:01219476",0,73.9988924684187
"15","Y1_FloralCount","1@1391.5","1",1391.47526139751,2.86100248976484,"chr_01:43208822","chr_01:56957146",1123.9228598129,1844.57911444187
"16","Y1_FloralCount","10@946.8","10",946.754385409535,9.8252372748866,"chr_10:39625359","chr_10:41573731",934.12173398068,995.723857709049
"17","Y1_FloralCount","15@42.8","15",42.8184129682189,32.1940030750223,"chr_15:00356129","chr_15:02148650",32.6789975401712,138.186258096525
"18","TotalFloral","1@1611.1","1",1611.06449979145,3.25431890315464,"chr_01:48034973","chr_01:53955289",1370.53743890418,1625.35619097706
"19","TotalFloral","3@365.0","3",364.980166417038,5.70066881026832,"chr_03:12279805","chr_03:14674554",341.624878355193,375.526741089842
"20","TotalFloral","10@946.8","10",946.754385409535,9.74065597911045,"chr_10:39625359","chr_10:41573731",934.12173398068,995.723857709049
"21","TotalFloral","15@42.8","15",42.8184129682189,27.5914489140181,"chr_15:00356129","chr_15:00610422",32.6789975401712,55.2874364066645
"22","sqrt_VegArea_d9","15@1295.5","15",1295.46893460464,4.64543316990096,"chr_15:42312199","chr_15:43943810",1279.48129783127,1306.63144541444
"23","sqrt_VegArea_d200","8@938.5","8",938.548035439312,5.66089999133046,"chr_08:12774885","chr_08:19372175",627.034201421573,952.516139666421
"24","sqrt_VegArea_d295","3@48.7","3",48.6720445358776,5.1030828625741,"chr_03:02362159","chr_03:15091346",16.254544476696,398.293696985824
"25","sqrt_VegArea_d295","8@826.1","8",826.069268392394,5.30689777769,"chr_08:14340432","chr_08:15065844",714.945340993163,835.108971867571
"26","sqrt_VegArea_d295","15@148.2","15",148.171046580538,9.6436888621364,"chr_15:02148650","chr_15:04060675",138.186258096525,158.177393744371
"27","sqrt_VegArea_d354","15@148.2","15",148.171046580538,6.37008189913391,"chr_15:02140072","chr_15:09408573",128.614993877685,477.762263382227
"28","sqrt_VegArea_d452","15@147.9","15",147.870651620492,5.10593036010898,"chr_15:02140072","chr_15:06455038",128.614993877685,317.43509158424
"29","sqrt_Lifespan","8@825.5","8",825.467538126246,5.67829910779066,"chr_08:08090865","chr_08:19655938",327.080905606967,970.161388091384
"30","sqrt_Y1_FloweringDur","8@857.8","8",857.784967438645,4.43252563776753,"chr_08:09587047","chr_08:19655938",347.045142534134,970.161388091384
"31","sqrt_Y1_FloweringDur","10@946.8","10",946.754385409535,8.16620139159419,"chr_10:22047901","chr_10:39843410",889.912184925182,963.034330787048
"32","sqrt_Y1_FloweringDur","15@42.8","15",42.8184129682189,24.6471451489129,"chr_15:00356129","chr_15:00610422",32.6789975401712,55.2874364066645
"33","sqrt_FloweringDuration","1@384.1","1",384.054014590121,2.69484040063439,"chr_01:12477597","chr_01:55401086",349.02871276442,1714.77009817256
"34","sqrt_FloweringDuration","8@829.2","8",829.220473625503,5.46973393269768,"chr_08:09587047","chr_08:19655938",347.045142534134,970.161388091384
"35","sqrt_FloweringDuration","10@946.8","10",946.754385409535,10.5709688103034,"chr_10:39625359","chr_10:39843410",934.12173398068,963.034330787048
"36","sqrt_FloweringDuration","15@42.8","15",42.8184129682189,19.1947879644354,"chr_15:00329664","chr_15:00610422",0,55.2874364066645
"37","sqrt_Y1_FloralCount","6@1460.2","6",1460.20958396026,3.54862933431465,"chr_06:36074007","chr_06:36953431",1447.84475271465,1511.30313969864
"38","sqrt_Y1_FloralCount","10@946.8","10",946.754385409535,9.60326725719407,"chr_10:39625359","chr_10:41573731",934.12173398068,995.723857709049
