"","pheno","qtlname","chr","pos","maxLod","lowmarker","highmarker","lowposition","highposition"
"1","VegArea_d120","4@1654.6","4",1654.55551043315,3.88172937777071,"chr_04:46042517","chr_04:61006011",1136.97213175885,2178.85157700224
"2","VegArea_d120","7@418.5","7",418.462781108249,3.93496457278905,"chr_07:17996891","chr_07:18594530",390.737602725231,441.868712537989
"3","VegArea_d120","15@1153.6","15",1153.5902370356,4.75445158458015,"chr_15:39199468","chr_15:39871206",1127.38323197992,1178.48516591697
"4","VegArea_d120","16@1026.9","16",1026.89470939414,4.54394957528051,"chr_16:26719898","chr_16:35641377",925.404149192588,1033.0712598656
"5","VegArea_d339","10@999.3","10",999.256452300739,7.68994451876895,"chr_10:25164335","chr_10:44128080",823.295710898258,1092.36324209294
"6","VegArea_d339","14@241.3","14",241.315138332449,5.39170485035583,"chr_14:01535827","chr_14:08600484",0,253.023476418357
"7","VegArea_d458","11@691.4","11",691.360644362245,4.78693084107353,"chr_11:27686473","chr_11:35940933",677.79715862119,799.420606498906
"8","Y2_WinterSurvival","14@299.7","14",299.694707582239,4.81582115776908,"chr_14:12372002","chr_14:15572192",278.38748964825,319.483924672101
"9","Y1_FloweringDur","7@418.4","7",418.363133583265,2.83194635180903,"chr_07:17996891","chr_07:38728547",390.737602725231,749.680743300624
"10","Y1_FloweringDur","12@1573.6","12",1573.55965583601,2.94960532562374,"chr_12:03888133","chr_12:51942633",140.709172400677,1609.16616723316
"11","Y1_FloweringDur","15@933.4","15",933.427658684876,6.91226215147903,"chr_15:21695674","chr_15:42312199",889.558267687521,1245.18335280928
"12","FloweringDuration","15@1107.5","15",1107.5066703381,5.19049847837305,"chr_15:21695674","chr_15:39199468",889.558267687521,1127.38323197992
"13","FloweringDuration","16@331.1","16",331.111597106253,4.44654504577055,"chr_16:11789460","chr_16:13036708",306.50766596911,355.360801704516
"14","Y1_FloralCount","5@113.6","5",113.622323133462,5.03567094861073,"chr_05:01044653","chr_05:07771617",91.5004899676527,629.24975069806
"15","Y1_FloralCount","13@1445.4","13",1445.36629902957,2.49180706754982,"chr_13:48200494","chr_13:57538498",1429.29257879974,2041.46813989056
"16","Y1_FloralCount","14@477.9","14",477.882923667957,12.2050764803099,"chr_14:22480283","chr_14:23866553",450.513069541346,502.827086274459
"17","Y1_FloralCount","15@1107.5","15",1107.5066703381,14.3155888385364,"chr_15:32604075","chr_15:39199468",1068.5371645112,1127.38323197992
"18","Y2_FloralCount","11@664.7","11",664.654148493037,5.98812650096174,"chr_11:25174852","chr_11:43377449",653.770536411234,890.226446761324
"19","TotalFloral","5@579.5","5",579.459224057365,4.82443598363827,"chr_05:01981117","chr_05:06242803",226.503480446989,592.745110822709
"20","TotalFloral","15@933.1","15",933.128609194369,7.10335675315852,"chr_15:21695674","chr_15:26809884",889.558267687521,956.80561168994
"21","TotalFloral","16@331.1","16",331.111597106253,3.88678746663867,"chr_16:11789460","chr_16:21258994",306.50766596911,678.511241723116
"22","sqrt_VegArea_d120","7@418.5","7",418.462781108249,4.2306828868049,"chr_07:17996891","chr_07:18594530",390.737602725231,441.868712537989
"23","sqrt_VegArea_d120","15@1153.6","15",1153.5902370356,4.16864795300203,"chr_15:39199468","chr_15:53001826",1127.38323197992,1629.92486996643
"24","sqrt_VegArea_d120","16@1026.9","16",1026.89470939414,5.42875128645844,"chr_16:26719898","chr_16:35641377",925.404149192588,1033.0712598656
"25","sqrt_VegArea_d339","10@999.3","10",999.256452300739,8.74285492883924,"chr_10:25164335","chr_10:44128080",823.295710898258,1092.36324209294
"26","sqrt_VegArea_d339","14@241.3","14",241.315138332449,5.97182129819028,"chr_14:04159418","chr_14:08600484",110.493592793086,253.023476418357
"27","sqrt_VegArea_d339","15@599.2","15",599.161976612391,4.27510149354921,"chr_15:06048859","chr_15:19275419",254.899422350852,814.714195146124
"28","sqrt_VegArea_d458","11@691.4","11",691.360644362245,4.62984292568366,"chr_11:27686473","chr_11:35940933",677.79715862119,799.420606498906
"29","sqrt_Y2_WinterSurvival","14@299.7","14",299.694707582239,5.2835821092109,"chr_14:13065876","chr_14:15572192",289.171322639596,319.483924672101
"30","sqrt_Y2_WinterSurvival","15@425.1","15",425.080942934202,4.12128656954935,"chr_15:00410301","chr_15:10460097",46.1644664342274,557.071376085779
"31","sqrt_Y1_FloweringDur","12@1573.6","12",1573.55965583601,3.34121404492049,"chr_12:51394353","chr_12:51942633",1544.15654514964,1609.16616723316
"32","sqrt_Y1_FloweringDur","15@1239.5","15",1239.53242676789,6.91050669841884,"chr_15:21695674","chr_15:42855205",889.558267687521,1261.38392430249
"33","sqrt_FloweringDuration","15@1107.5","15",1107.5066703381,4.37347992973385,"chr_15:21695674","chr_15:39199468",889.558267687521,1127.38323197992
"34","sqrt_FloweringDuration","16@331.1","16",331.111597106253,4.50918158561728,"chr_16:11789460","chr_16:13036708",306.50766596911,355.360801704516
"35","sqrt_Y1_FloralCount","5@425.4","5",425.44532504542,4.72698417150449,"chr_05:01044653","chr_05:07771617",91.5004899676527,629.24975069806
"36","sqrt_Y1_FloralCount","13@1445.4","13",1445.36629902957,2.67108029839002,"chr_13:48200494","chr_13:57538498",1429.29257879974,2041.46813989056
"37","sqrt_Y1_FloralCount","14@477.9","14",477.882923667957,12.3623304548749,"chr_14:22480283","chr_14:23866553",450.513069541346,502.827086274459
"38","sqrt_Y1_FloralCount","15@1107.5","15",1107.5066703381,16.5252766704284,"chr_15:38641157","chr_15:39199468",1095.56778841233,1127.38323197992
"39","sqrt_Y2_FloralCount","11@664.7","11",664.654148493037,5.45746446410076,"chr_11:25174852","chr_11:46272195",653.770536411234,920.211704509871
"40","sqrt_TotalFloral","5@579.5","5",579.459224057365,4.7870974300729,"chr_05:01981117","chr_05:06242803",226.503480446989,592.745110822709
"41","sqrt_TotalFloral","15@933.1","15",933.128609194369,6.10148573608818,"chr_15:21695674","chr_15:39199468",889.558267687521,1127.38323197992
"42","sqrt_TotalFloral","16@331.1","16",331.111597106253,4.00470499216178,"chr_16:11789460","chr_16:17611079",306.50766596911,537.703645756105
